MAX_LEN,MAX_THRESHOLD,MIN_LEN,MIN_THRESHOLD,N_ASSEMBLIES,SPECIES
2356686,2592354.6,2356686,2121017.4,1,Thiomicrospira halophila
2449025,2693927.5,2449025,2204122.5,1,Thiomicrospira kuenenii
2108215,2319036.5,2108215,1897393.5,1,Thiomicrospira pelophila
2725706,2998276.6,2344434,2109990.6,3,Thiomicrospira sp.
3738778,4112655.8000000003,3738778,3364900.2,1,Thiomonas arsenitoxydans
3396378,3736015.8000000003,3396378,3056740.2,1,Thiomonas intermedia
4810005,5291005.5,4810005,4329004.5,1,Thioploca ingrica
4638170,5101987.0,4638170,4174353.0,1,Thiothrix nivea
3471292,3818421.2,3471292,3124162.8000000003,1,Tolumonas auensis
3855671,4241238.100000001,3855671,3470103.9,1,Treponema azotonutricium
3055580,3361138.0000000005,3055580,2750022.0,1,Treponema brennaborense
3239340,3563274.0000000005,3239340,2915406.0,1,Treponema caldarium
2932225,3225447.5000000005,2757856,2482070.4,13,Treponema denticola
2530388,2783426.8000000003,2530388,2277349.2,1,Treponema maltophilum
2727508,3000258.8000000003,2727508,2454757.2,1,Treponema medium
1140059,1254064.9000000001,1139203,1025282.7000000001,17,Treponema pallidum
1133390,1246729.0,1133390,1020051.0,1,Treponema paraluiscuniculi
2889325,3178257.5000000005,2889325,2600392.5,1,Treponema pedis
4059867,4465853.7,4059867,3653880.3000000003,1,Treponema primitia
2796913,3076604.3000000003,2796913,2517221.7,1,Treponema putidum
2708067,2978873.7,2708067,2437260.3000000003,1,Treponema sp.
2731853,3005038.3000000003,2731853,2458667.7,1,Treponema succinifaciens
7750108,8250108.0,7750108,7250108.0,1,Trichodesmium erythraeum
927621,1020383.1000000001,927515,834763.5,10,Tropheryma whipplei
3260398,3586437.8000000003,3260398,2934358.2,1,Truepera radiovictrix
2338390,2572229.0,2272494,2045244.6,3,Trueperella pyogenes
4379918,4817909.800000001,4379918,3941926.2,1,Tsukamurella paurometabola
2622031,2884234.1,2622031,2359827.9,1,Turicibacter sp.
4384015,4822416.5,4384015,3945613.5,1,Turneriella parva
4123015,4535316.5,4123015,3710713.5,1,Unknown.
973501,1070851.1,973501,876150.9,1,Ureaplasma diversum
751719,826890.9,727289,654560.1,3,Ureaplasma parvum
874478,961925.8,860795,774715.5,3,Ureaplasma urealyticum
